Claim_ID,Food_ID,Receiver_ID,Status,Timestamp,Receiver_Name,Receiver_Type,Receiver_City,Receiver_Contact,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Provider_Name,Address,Provider_City,Provider_Contact,Days_To_Expiry,Hour,Day
28,586,189,Pending,2025-03-19 04:15:00,Stephen Smith,Individual,Maxberg,(690)326-1349x605,Vegetables,37,2025-03-18,54,Supermarket,Lake Rachael,Vegetarian,Breakfast,"Bennett, Phillips and Green","Unit 0882 Box 8764
DPO AE 00627",Lake Rachael,001-350-580-0382x854,-2,4,19
29,812,769,Pending,2025-03-14 17:09:00,John Warner,Shelter,Cookhaven,+1-003-320-5395,Bread,49,2025-03-19,471,Grocery Store,Charlesmouth,Non-Vegetarian,Lunch,"Allen, Ramsey and Cortez","480 Bruce Run
Dennischester, CO 85895",Charlesmouth,594.468.5130,4,17,14
30,193,228,Pending,2025-03-07 04:05:00,Joanna Wilkins,Charity,Singletonview,(796)888-1488,Pasta,25,2025-03-21,354,Catering Service,South Alicia,Vegan,Breakfast,Rowe-Arias,"8041 Joseph Shoal Suite 878
North Robertfurt, KY 43667",South Alicia,090-649-4737,13,4,7
31,937,546,Completed,2025-03-03 02:06:00,Meagan Hughes,Charity,Lake Lance,(109)364-9434,Bread,18,2025-03-27,916,Catering Service,Patrickfort,Non-Vegetarian,Lunch,Davis and Sons,"551 Huynh Trail Apt. 373
Lake Kevinton, KS 39284",Patrickfort,965.266.3582,23,2,3
32,624,371,Cancelled,2025-03-17 12:57:00,William Frederick,NGO,Port Dean,001-228-551-9866,Fish,10,2025-03-16,475,Catering Service,Bentonfurt,Non-Vegetarian,Breakfast,Henderson Group,"655 Mallory Fork
North Mary, WY 23835",Bentonfurt,854-929-8365,-2,12,17
33,905,386,Cancelled,2025-03-16 14:26:00,Mary Hopkins,Individual,Tiffanyport,001-476-350-8465x7500,Bread,37,2025-03-25,2,Grocery Store,East Sheena,Vegan,Dinner,"Nielsen, Johnson and Fuller","91228 Hanson Stream
Welchtown, OR 27136",East Sheena,+1-925-283-8901x6297,8,14,16
34,713,271,Pending,2025-03-18 01:17:00,Mark Hartman,Individual,East Ashleyshire,818-015-1582,Fish,7,2025-03-26,108,Supermarket,East Austin,Vegan,Snacks,Williams-Cox,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,7,1,18
35,190,93,Cancelled,2025-03-09 21:40:00,Allison Bray,Individual,Alexatown,001-122-277-3588,Salad,25,2025-03-22,262,Supermarket,New Carol,Non-Vegetarian,Snacks,Bradford-Martinez,"366 Wheeler Fields
Harringtonchester, WY 86540",New Carol,199.451.0254,12,21,9
36,597,562,Pending,2025-03-16 03:41:00,Antonio Murphy,NGO,West Kevin,+1-177-564-0300x9110,Dairy,12,2025-03-20,563,Grocery Store,East Angela,Vegetarian,Lunch,Daniels-Kim,"002 Donald Glen Suite 515
Edwardschester, OR 44523",East Angela,787.621.3654x1971,3,3,16
37,832,920,Cancelled,2025-03-13 03:50:00,Gregory Rodriguez,Charity,West Davidview,671.667.1616,Fish,19,2025-03-16,752,Grocery Store,East Heatherport,Non-Vegetarian,Breakfast,Butler-Richardson,"99213 George Spurs Suite 321
Petersenberg, MA 55289",East Heatherport,+1-268-505-2616,2,3,13
38,757,380,Cancelled,2025-03-18 05:29:00,Heather Silva,Charity,Lake Ryan,1340826530,Dairy,42,2025-03-21,282,Supermarket,Port Gregton,Vegetarian,Dinner,"Baker, Gardner and Callahan","18439 Amanda Field Apt. 333
Mccartymouth, MO 88867",Port Gregton,520-919-5240,2,5,18
39,58,923,Pending,2025-03-12 09:57:00,Victor Diaz,Shelter,Darinview,561.923.0470x922,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,Harrison-Wilson,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515,15,9,12
40,141,789,Pending,2025-03-10 04:14:00,Laura Robertson,NGO,Hansonfurt,616-851-6533x67759,Dairy,33,2025-03-29,702,Supermarket,Lake Mistyton,Non-Vegetarian,Lunch,Moreno-Melton,"88171 Teresa Station
New Shane, UT 53712",Lake Mistyton,001-098-297-7862x776,18,4,10
41,415,336,Pending,2025-03-18 04:33:00,Laura Marshall,Charity,East Lisafurt,+1-389-167-7916x81453,Vegetables,18,2025-03-23,537,Restaurant,Callahanside,Vegan,Breakfast,Jones Group,"3828 Williams Lake
Brownshire, OR 72935",Callahanside,(104)313-7701x468,4,4,18
42,886,256,Pending,2025-03-07 12:22:00,Derek Wilson,Individual,Christopherland,+1-963-859-7585x002,Bread,48,2025-03-20,423,Restaurant,South Justinborough,Vegetarian,Breakfast,Serrano-Lopez,"312 Hodge Center
West Stevenshire, KS 70989",South Justinborough,(225)688-7752x0658,12,12,7
43,611,306,Pending,2025-03-16 17:08:00,Donna Williams,Charity,Calebview,083-313-0990x09518,Vegetables,40,2025-03-30,993,Restaurant,East Stephanie,Vegetarian,Snacks,Mckinney Ltd,"179 Fernandez Rapids
Campbellport, MA 31352",East Stephanie,225-959-2378,13,17,16
44,825,31,Pending,2025-03-09 13:02:00,Rose Powell,NGO,Spencermouth,247-152-7297x648,Salad,25,2025-03-25,995,Supermarket,Manningshire,Vegetarian,Breakfast,Moore Group,"46915 Maynard Dam Suite 320
North Alyssa, CA 48762",Manningshire,889-093-8775x51762,15,13,9
45,457,569,Completed,2025-03-13 07:07:00,Danny Randolph,Shelter,South Yolanda,029.011.8582,Soup,30,2025-03-25,347,Supermarket,Louismouth,Non-Vegetarian,Lunch,"Hood, Hoffman and Wright","783 Gonzales Valleys Apt. 115
Alexandrialand, NH 52248",Louismouth,992.697.3906x31622,11,7,13
46,556,412,Cancelled,2025-03-12 02:30:00,David Carney,NGO,Port Dianemouth,001-710-732-1565x428,Fish,48,2025-03-21,938,Restaurant,Hollyhaven,Vegan,Lunch,Barker LLC,"5999 Brenda Trail Apt. 807
Amberstad, VT 22034",Hollyhaven,+1-530-780-2072x25507,8,2,12
47,746,48,Pending,2025-03-07 10:45:00,Jennifer Graham,Individual,East Saraport,001-979-746-0394x487,Bread,31,2025-03-30,293,Catering Service,Joneshaven,Non-Vegetarian,Lunch,Ibarra and Sons,"Unit 2034 Box 3584
DPO AE 66830",Joneshaven,855-385-3050x223,22,10,7
48,895,373,Pending,2025-03-09 23:13:00,Seth Esparza,Shelter,Port Brandonberg,2597616873,Pasta,38,2025-03-29,888,Supermarket,West Sharonview,Vegan,Snacks,Schmidt-Alexander,"96966 Smith Expressway
Lauraburgh, MD 50475",West Sharonview,(616)029-0456x6126,19,23,9
49,190,678,Pending,2025-03-20 13:44:00,Joseph Johnson,NGO,South Jasminechester,412.202.8352x6950,Salad,25,2025-03-22,262,Supermarket,New Carol,Non-Vegetarian,Snacks,Bradford-Martinez,"366 Wheeler Fields
Harringtonchester, WY 86540",New Carol,199.451.0254,1,13,20
50,251,804,Pending,2025-03-19 13:18:00,Elizabeth Cochran,NGO,Theresabury,7711350025,Dairy,12,2025-03-24,241,Catering Service,Devinmouth,Non-Vegetarian,Lunch,"Harper, Blake and Alexander","882 Smith Heights
East Cherylborough, DC 06299",Devinmouth,(144)381-3923,4,13,19
51,543,255,Pending,2025-03-04 10:59:00,Walter Myers,Individual,New Tina,+1-285-278-8381x0454,Fruits,9,2025-03-26,526,Supermarket,South Tylerstad,Vegan,Dinner,"Harrington, Jimenez and Carr","7266 Alvarez Junctions Suite 564
New Robertfort, MT 85213",South Tylerstad,154-764-8062,21,10,4
52,507,517,Cancelled,2025-03-15 14:58:00,Taylor Wolfe,Individual,New Travisland,516.367.4140,Chicken,43,2025-03-26,968,Restaurant,Christopherton,Vegetarian,Lunch,"Robinson, Schaefer and Foster","83418 Joshua Place Suite 333
Nathanielborough, IN 28904",Christopherton,+1-235-607-0553x247,10,14,15
53,37,449,Completed,2025-03-11 09:43:00,Mrs. Valerie Hartman,NGO,Port Jenniferborough,1271218776,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner,Hunt-Lee,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223,8,9,11
54,534,737,Cancelled,2025-03-06 01:44:00,James Brown,Shelter,Lake Catherine,(152)508-8754x91151,Vegetables,34,2025-03-30,223,Restaurant,Longland,Non-Vegetarian,Dinner,Hodges and Sons,"7970 Robinson Field
Salinaschester, CT 85213",Longland,504.107.9130,23,1,6
55,438,601,Completed,2025-03-09 00:13:00,Peter Gonzalez,Shelter,Biancaton,(112)578-4601x9811,Dairy,46,2025-03-20,84,Restaurant,Marthaside,Vegetarian,Breakfast,Atkins Group,"2205 Sharp Junction Suite 771
Drakefurt, KY 14437",Marthaside,+1-318-669-6985x63710,10,0,9
56,690,452,Completed,2025-03-17 14:29:00,Tina Banks,Charity,Port Judith,986-535-7620,Fruits,43,2025-03-16,779,Supermarket,New Bobbytown,Vegetarian,Breakfast,Maynard LLC,"7357 Kimberly Estate
Williamtown, TX 45569",New Bobbytown,416.974.9320x8176,-2,14,17
57,225,295,Completed,2025-03-11 21:44:00,Joseph Williams,Individual,East Dale,001-112-513-9413,Fish,26,2025-03-24,340,Grocery Store,Murrayborough,Vegan,Dinner,"Barry, Powers and White","1145 Justin Light
Richardside, CT 45760",Murrayborough,(023)817-1166,12,21,11
58,258,149,Completed,2025-03-13 15:12:00,Nathan Willis,NGO,Danielfort,830.318.9696x322,Fish,24,2025-03-21,101,Restaurant,East Angelafort,Vegetarian,Breakfast,Chambers-Waters,"56762 Kimberly Light Suite 474
Matthewmouth, UT 45275",East Angelafort,001-230-322-3448x38934,7,15,13
59,797,371,Cancelled,2025-03-02 23:28:00,William Frederick,NGO,Port Dean,001-228-551-9866,Dairy,40,2025-03-27,467,Catering Service,Phillipsfort,Vegan,Breakfast,"Wilson, Watkins and Moore","57044 Fisher Valley
Parkerland, ID 82897",Phillipsfort,782.944.0904,24,23,2
60,390,391,Pending,2025-03-16 15:03:00,Regina Munoz,NGO,Lake Clinton,585.955.3149,Soup,19,2025-03-27,264,Catering Service,New Richard,Non-Vegetarian,Lunch,Holland and Sons,"430 Tyler View Apt. 166
South Katherine, TX 04269",New Richard,184-401-2586x9344,10,15,16
61,990,550,Cancelled,2025-03-08 21:06:00,Shawn Gibson,Individual,South Eric,001-268-793-0427x33000,Pasta,11,2025-03-25,720,Restaurant,Francisshire,Vegetarian,Breakfast,"Page, Smith and Davis","065 Mary Estate Apt. 886
North Jessica, NY 33169",Francisshire,921-470-8846x3047,16,21,8
62,258,678,Pending,2025-03-17 14:07:00,Joseph Johnson,NGO,South Jasminechester,412.202.8352x6950,Fish,24,2025-03-21,101,Restaurant,East Angelafort,Vegetarian,Breakfast,Chambers-Waters,"56762 Kimberly Light Suite 474
Matthewmouth, UT 45275",East Angelafort,001-230-322-3448x38934,3,14,17
63,119,279,Pending,2025-03-08 21:30:00,Angela Wyatt,Charity,Port Jessica,592.913.1646x3179,Bread,49,2025-03-28,135,Catering Service,East Candace,Non-Vegetarian,Breakfast,Dyer Group,"601 Kent Mills Apt. 098
New Robertstad, NY 73393",East Candace,906.900.1026,19,21,8
64,771,90,Completed,2025-03-17 13:38:00,Alvin West,Shelter,Kellybury,(417)314-8724,Chicken,9,2025-03-23,551,Restaurant,East Sandratown,Vegetarian,Dinner,"Holland, Caldwell and Oliver","7502 Silva Lights Apt. 125
North Brittany, MA 40389",East Sandratown,(670)960-9465,5,13,17
65,424,532,Cancelled,2025-03-15 15:00:00,David Sellers DVM,Individual,South Michaelfurt,492.321.3443,Pasta,41,2025-03-27,910,Restaurant,Leeburgh,Non-Vegetarian,Lunch,Lee PLC,"886 Mark Plain Suite 687
Lake Nicholashaven, MN 43931",Leeburgh,346.517.7901x471,11,15,15
66,310,730,Cancelled,2025-03-11 19:22:00,Felicia Glover,Shelter,East Michael,982-844-2370,Rice,13,2025-03-20,528,Supermarket,Markport,Vegan,Dinner,Baird PLC,"10521 Jared Mill Suite 659
Mccormickhaven, MO 07533",Markport,001-930-122-6265x199,8,19,11
67,486,817,Completed,2025-03-17 17:22:00,Victoria Torres,Charity,Martinchester,+1-624-780-9445x7755,Chicken,9,2025-03-25,550,Catering Service,Timothychester,Vegan,Snacks,"Phelps, Graham and Hayes","59138 Sherman Light Apt. 256
Rossside, ND 89271",Timothychester,(512)814-0594x96653,7,17,17
68,526,321,Pending,2025-03-02 04:49:00,Wanda Wise,Shelter,South Bethanyport,(940)028-0493x49472,Rice,11,2025-03-30,883,Supermarket,New Jacob,Vegetarian,Lunch,"Lewis, Wagner and Solis","250 Chloe Common
South Elizabethbury, NH 23690",New Jacob,001-094-480-8706,27,4,2
69,321,45,Completed,2025-03-10 06:15:00,Derek Potter,Charity,South Laurachester,497-372-7517x026,Pasta,20,2025-03-18,572,Supermarket,Lake Cathy,Non-Vegetarian,Lunch,Shaw Group,"PSC 8369, Box 1372
APO AP 87487",Lake Cathy,+1-168-522-2184x289,7,6,10
70,203,479,Completed,2025-03-19 15:41:00,Karen Reeves MD,NGO,Lake Mitchellbury,365-174-3809,Pasta,8,2025-03-24,215,Grocery Store,New Curtis,Vegetarian,Breakfast,Simmons Ltd,"6249 Michelle Islands Apt. 374
West Heather, VT 67074",New Curtis,(219)975-7084,4,15,19
71,538,897,Cancelled,2025-03-02 15:34:00,Shelby Rice,Shelter,New Loriberg,+1-213-470-2112x7474,Dairy,18,2025-03-29,840,Restaurant,Cisnerostown,Vegetarian,Lunch,Farmer Ltd,"594 Patel Road Suite 676
Autumnborough, AK 45847",Cisnerostown,924.147.5562x1759,26,15,2
72,851,44,Completed,2025-03-04 10:49:00,Andrew Lawson,Shelter,Davisborough,622.566.7870,Fruits,35,2025-03-18,516,Catering Service,New Aaronberg,Non-Vegetarian,Snacks,"Raymond, Kelly and Yates","8919 Natasha Tunnel
Jacksonburgh, MO 07674",New Aaronberg,(590)421-4384,13,10,4
73,708,222,Pending,2025-03-05 23:42:00,Stephanie Jones,Shelter,West Aaronport,001-029-940-1111,Rice,17,2025-03-22,800,Catering Service,East Amyfurt,Vegan,Lunch,"Hughes, Fuller and Sanchez","19447 Michael Locks Apt. 580
Thompsonburgh, NJ 75869",East Amyfurt,(040)473-0155,16,23,5
74,487,62,Cancelled,2025-03-02 13:20:00,Nichole Lewis,NGO,North Catherinefurt,777-445-5269x5255,Fruits,43,2025-03-18,499,Catering Service,Jonathanstad,Vegetarian,Dinner,Blankenship-Lewis,"883 Lee Alley
East Robertview, MI 64109",Jonathanstad,651-552-2403,15,13,2
75,909,161,Cancelled,2025-03-06 11:44:00,Mary Nguyen,Charity,Mcclurestad,+1-453-182-2743x789,Fish,10,2025-03-28,831,Catering Service,Lewishaven,Vegan,Snacks,Figueroa Inc,"5678 Washington Pines Suite 444
Millerfurt, DE 55779",Lewishaven,107.592.8920,21,11,6
76,877,185,Completed,2025-03-13 22:38:00,Shannon Pineda,Individual,Lake Amanda,129-249-0893x786,Chicken,8,2025-03-20,374,Grocery Store,Steeleport,Non-Vegetarian,Lunch,"Pollard, Yoder and Martin","3352 Willis Junctions Apt. 432
Lake Pamelaborough, NV 36555",Steeleport,731-612-0267x787,6,22,13
77,65,324,Completed,2025-03-04 22:57:00,Kristine Martin,NGO,Thompsonhaven,444.954.4127x16438,Fruits,45,2025-03-26,602,Grocery Store,North Destiny,Non-Vegetarian,Breakfast,Cole LLC,"USS Zhang
FPO AP 50279",North Destiny,001-078-379-8075x2377,21,22,4
78,504,151,Completed,2025-03-15 13:41:00,Lisa Eaton,Shelter,New Aimeemouth,342.869.6733,Rice,28,2025-03-30,227,Grocery Store,Derekport,Vegetarian,Lunch,Morse-Hoffman,"677 Jenna Village
Port Rhonda, OK 56596",Derekport,(440)514-8820x3017,14,13,15
79,188,795,Cancelled,2025-03-03 01:13:00,Caitlin Cobb,Charity,North Andresport,+1-968-871-4930,Soup,4,2025-03-20,55,Grocery Store,Danachester,Vegan,Breakfast,Wilson-Brown,"220 Rachel Trace
Port Mark, AK 17083",Danachester,001-473-163-6196x2386,16,1,3
80,153,35,Pending,2025-03-21 01:58:00,James Castaneda,Shelter,South Rachaelhaven,932-277-2945x55052,Fish,20,2025-03-21,737,Restaurant,Port Andrea,Vegetarian,Breakfast,"Ballard, Stanley and Hill","USCGC Holt
FPO AA 27710",Port Andrea,409.995.2073x69158,-1,1,21
81,964,876,Completed,2025-03-03 09:13:00,Jeremy Robinson,NGO,Jamesview,001-097-198-3229x7777,Rice,46,2025-03-25,192,Catering Service,Leslieville,Vegan,Dinner,"Hunter, Ballard and Caldwell","60550 Fleming Branch Suite 560
Jessicashire, UT 62403",Leslieville,001-594-592-2116x9925,21,9,3
82,641,638,Pending,2025-03-09 13:21:00,Timothy Browning,Charity,Moralesfort,001-836-247-3024,Bread,9,2025-03-30,692,Supermarket,South Andrewport,Vegan,Snacks,"Rocha, Johnson and Dunlap","31552 Jodi Motorway Suite 547
Allenport, AR 98936",South Andrewport,+1-596-531-4868,20,13,9
83,805,695,Completed,2025-03-18 19:37:00,Janet Newton,Individual,West Amandaport,930-590-8261,Chicken,1,2025-03-22,235,Catering Service,Gutierrezshire,Non-Vegetarian,Dinner,Gutierrez LLC,"310 Myers Neck
Richardtown, WA 29671",Gutierrezshire,+1-544-924-8841x926,3,19,18
84,925,554,Pending,2025-03-09 02:10:00,Margaret Mccullough,Charity,Ortizmouth,888-890-3956,Salad,12,2025-03-26,665,Catering Service,West Billborough,Non-Vegetarian,Lunch,Ortega-Webb,"62621 Mikayla Hollow Suite 797
Melendezview, ME 58412",West Billborough,001-646-036-9173x42885,16,2,9
85,197,624,Completed,2025-03-01 09:52:00,Alvin Day Jr.,NGO,East Heatherbury,722.127.8600,Rice,21,2025-03-24,453,Grocery Store,East Timothy,Vegetarian,Breakfast,Moore LLC,"316 Clark Throughway Suite 810
Port John, ND 69257",East Timothy,(305)756-5998x6969,22,9,1
86,790,425,Cancelled,2025-03-02 09:25:00,Robert Chavez,NGO,Chadport,(886)049-9104x019,Chicken,2,2025-03-21,332,Restaurant,West Whitneymouth,Vegan,Dinner,Cox LLC,"406 Lucero Mountain Apt. 736
Mollyport, RI 14316",West Whitneymouth,001-018-140-2068x875,18,9,2
87,829,918,Completed,2025-03-13 10:50:00,Katrina Cruz,Charity,Jenkinsfurt,709-191-5616x88772,Dairy,44,2025-03-18,262,Supermarket,New Carol,Vegan,Dinner,Bradford-Martinez,"366 Wheeler Fields
Harringtonchester, WY 86540",New Carol,199.451.0254,4,10,13
88,233,310,Completed,2025-03-03 02:47:00,Gary Adams,Individual,New Sara,001-323-823-4026x61837,Fish,19,2025-03-26,26,Grocery Store,West Adammouth,Non-Vegetarian,Snacks,Hansen Inc,"9402 Corey Avenue
Jamesland, AL 54220",West Adammouth,464-311-2342,22,2,3
89,912,632,Cancelled,2025-03-05 20:34:00,Austin Smith,NGO,North Marcusbury,219-381-8831x93973,Dairy,6,2025-03-28,334,Grocery Store,South Jillshire,Non-Vegetarian,Breakfast,Cox-Mcintyre,"85337 King Junction Suite 272
East Nicoleshire, ID 63161",South Jillshire,(422)450-8076,22,20,5
